# High Potential Target Students (>1 class attended) - 51Talk Big Team 01
# Representative: EGSS-ashraqatal | Total High Potential: 227
Student ID,Classes Completed,Booked Unattended,Priority Score
64113072,25,0,50
58997018,24,5,43
63802309,23,5,41
63227952,20,3,37
63577262,20,0,40
60854816,19,0,38
64161887,19,6,32
63050311,18,4,32
63780989,18,4,32
60926601,17,5,29
62688692,17,4,30
62799796,17,4,30
63206555,17,4,30
63829125,17,4,30
63989520,17,3,31
58553122,16,4,28
61135097,16,4,28
61421140,16,5,27
62623253,16,5,27
63228039,16,0,32
63469723,16,0,32
59735323,15,0,30
60910729,15,3,27
61337300,15,3,27
61871578,15,5,25
63334077,15,3,27
63692995,15,5,25
63920015,15,5,25
64166730,15,4,26
59343610,14,6,22
61022125,14,4,24
61077929,14,5,23
61219177,14,4,24
61976943,14,4,24
61982724,14,2,26
61985403,14,4,24
62458960,14,5,23
62533369,14,6,22
63181896,14,4,24
63399495,14,6,22
63405994,14,4,24
63864629,14,4,24
63996370,14,3,25
58657728,13,4,22
61189488,13,4,22
61853716,13,0,26
61977127,13,2,24
62064194,13,3,23
62589333,13,0,26
62969723,13,0,26
63375771,13,5,21
63447848,13,4,22
63605182,13,4,22
63683903,13,3,23
63721494,13,4,22
63724289,13,0,26
64169094,13,5,21
64169405,13,4,22
58364771,12,4,20
59416821,12,4,20
59623410,12,4,20
60565984,12,0,24
60763921,12,4,20
60866303,12,0,24
60990539,12,4,20
61774957,12,4,20
62043842,12,1,23
62392130,12,1,23
62583045,12,4,20
62809547,12,3,21
63026323,12,4,20
63087938,12,0,24
63174147,12,4,20
63268660,12,0,24
63415107,12,3,21
63613742,12,0,24
63651640,12,2,22
63722499,12,4,20
63832603,12,4,20
64046700,12,4,20
58582663,11,0,22
58792423,11,3,19
60537080,11,4,18
61285200,11,3,19
61321552,11,3,19
61646431,11,4,18
61829388,11,4,18
61957600,11,0,22
63081428,11,0,22
63538110,11,5,17
63556914,11,0,22
63590256,11,3,19
63590359,11,3,19
63679400,11,0,22
63679560,11,1,21
63878734,11,4,18
63967196,11,2,20
64061782,11,4,18
64125852,11,2,20
59892214,10,2,18
59908258,10,2,18
60282759,10,2,18
60503646,10,4,16
60954175,10,4,16
60967281,10,4,16
60967608,10,3,17
61237127,10,5,15
61268309,10,3,17
61312508,10,1,19
61810712,10,3,17
61884354,10,3,17
62174621,10,2,18
62431083,10,2,18
62894854,10,3,17
63029719,10,4,16
63232843,10,3,17
63498328,10,4,16
63538212,10,5,15
63556961,10,5,15
63585133,10,3,17
63751934,10,2,18
63857612,10,3,17
63864717,10,4,16
57946830,9,3,15
57950923,9,2,16
58271460,9,3,15
59361395,9,3,15
59380163,9,2,16
60655505,9,2,16
61447548,9,2,16
61828562,9,3,15
62199103,9,3,15
62490852,9,3,15
62728946,9,4,14
62895044,9,3,15
62896189,9,3,15
63193496,9,4,14
63265519,9,0,18
63539607,9,1,17
63551578,9,1,17
63582858,9,0,18
63892561,9,1,17
64031624,9,2,16
58151985,8,2,14
58349110,8,4,12
58788867,8,3,13
59223408,8,3,13
59293268,8,0,16
59379324,8,2,14
60585470,8,1,15
60612920,8,4,12
60622386,8,2,14
61632371,8,4,12
61840825,8,0,16
61881202,8,4,12
61881204,8,4,12
62367477,8,2,14
62630400,8,2,14
63055664,8,2,14
63055927,8,0,16
63143117,8,3,13
63148730,8,3,13
63258074,8,0,16
63508847,8,4,12
63581283,8,4,12
63738972,8,2,14
63812711,8,1,15
63888425,8,0,16
64150401,8,3,13
59509105,7,0,14
59936587,7,2,12
60153790,7,0,14
60563749,7,3,11
60971687,7,0,14
61504844,7,4,10
61565510,7,4,10
61784938,7,0,14
61801131,7,6,8
62213744,7,3,11
62916642,7,5,9
63119806,7,2,12
63119848,7,2,12
63120123,7,2,12
63178981,7,5,9
63738919,7,4,10
63914231,7,1,13
64150364,7,3,11
64167246,7,2,12
64177823,7,2,12
59733918,6,4,8
60802704,6,5,7
62483543,6,4,8
63086782,6,0,12
63316283,6,0,12
63581205,6,0,12
63606446,6,0,12
60562065,5,0,10
61240645,5,3,7
63000154,5,4,6
63111555,5,0,10
63142644,5,2,8
63892927,5,1,9
58905364,4,5,3
59765010,4,1,7
59766990,4,1,7
63505775,4,0,8
63637674,4,4,4
59057883,3,3,3
59354824,3,0,6
62043652,3,1,5
62833919,3,0,6
63001390,3,0,6
63204610,3,3,3
63504490,3,0,6
63651617,3,0,6
63877816,3,6,0
58399814,2,0,4
59731674,2,2,2
59764070,2,0,4
60215401,2,4,0
60912344,2,0,4
61968742,2,1,3
63505581,2,0,4
63783837,2,0,4
63874897,2,2,2
63876872,2,4,0
63970734,2,0,4
